id,value
id_0,25.91756535954762
id_1,15.034017012757893
id_2,22.727608207371944
id_3,27.191223075874188
id_4,36.372328240815996
id_5,28.452011541313297
id_6,27.350963272863915
id_7,25.652562223550632
id_8,44.683032685781249
id_9,46.631743568813917
id_10,56.789173323681034
id_11,74.52091395245975
id_12,79.795024396059361
id_13,74.123330346932974
id_14,60.733960548351547
id_15,61.737789600012007
id_16,12.404316226514643
id_17,19.208337344958661
id_18,29.93208768361059
id_19,35.980823218081049
id_20,41.027527930613118
id_21,41.46793649732269
id_22,39.047933402417961
id_23,29.118008490210951
id_24,68.098719389312677
id_25,55.404991943984761
id_26,48.475882271063838
id_27,41.182834991718394
id_28,41.67616237266283
id_29,44.455242239172428
id_30,41.751459586498207
id_31,33.373414924866793
id_32,16.500231752930837
id_33,24.320881608576794
id_34,19.065588351372444
id_35,12.131732878605677
id_36,7.1685055080259694
id_37,6.5036908362801373
id_38,12.692462044163813
id_39,9.4782550203733837
id_40,28.738024281986657
id_41,33.599784708696575
id_42,38.738487466601768
id_43,38.295188589099268
id_44,29.692068370542522
id_45,25.917565359547623
id_46,15.034017012757893
id_47,22.727608207371947
id_48,40.126881402994542
id_49,45.019787574001384
id_50,63.955257682991743
id_51,66.972184597434392
id_52,68.098719389312677
id_53,55.404991943984761
id_54,48.475882271063838
id_55,41.182834991718394
id_56,17.077622236716461
id_57,21.503008645720399
id_58,17.016215382250195
id_59,11.249640559741962
id_60,17.089905043951575
id_61,21.956697908771559
id_62,26.498625915680286
id_63,17.058440623584662
id_64,74.52091395245975
id_65,79.795024396059361
id_66,74.12333034693296
id_67,60.733960548351547
id_68,61.737789600012
id_69,61.078812502079614
id_70,60.043065541497711
id_71,50.699695243340337
id_72,16.225591478077138
id_73,15.931129676655203
id_74,19.431665553871252
id_75,20.878605138129867
id_76,16.536072610669525
id_77,12.585469971133067
id_78,18.425990383687726
id_79,23.964167474144631
id_80,30.407063075473662
id_81,36.209387229353098
id_82,39.85342071502496
id_83,34.048275492077593
id_84,29.311629465244859
id_85,28.73802428198665
id_86,33.599784708696582
id_87,38.738487466601775
id_88,24.978327875224714
id_89,17.906812102997446
id_90,23.258096668347644
id_91,34.361231985842053
id_92,45.207108707784201
id_93,52.215215572009896
id_94,53.941964392696498
id_95,59.016431607436502
id_96,61.746290592686137
id_97,57.84358697838185
id_98,53.398034984963658
id_99,47.787065427663151
id_100,58.415795083629732
id_101,56.217455859082591
id_102,55.990925446530028
id_103,48.841163353078358
id_104,41.240929748771485
id_105,36.967229482830398
id_106,29.872829028344622
id_107,22.889497168576842
id_108,24.008703866519966
id_109,24.978327875224714
id_110,17.906812102997446
id_111,23.258096668347644
id_112,67.907811320885031
id_113,72.511061052482134
id_114,66.893161946307785
id_115,80.262834392377457
id_116,70.542850196524526
id_117,60.417333395085222
id_118,43.677741791722774
id_119,32.948087881564462
id_120,28.93557765699142
id_121,33.744936083116123
id_122,27.959278891133312
id_123,20.401070331517751
id_124,23.071725350908345
id_125,16.11243006430686
id_126,16.465926984316884
id_127,13.916724678471201
id_128,26.171989624966702
id_129,30.653158984026312
id_130,27.846295524098061
id_131,40.126881402994549
id_132,45.019787574001377
id_133,63.955257682991729
id_134,66.972184597434392
id_135,68.098719389312677
id_136,60.043065541497711
id_137,50.699695243340337
id_138,50.004038087668519
id_139,39.385972603908044
id_140,40.662698836123532
id_141,31.48070082977824
id_142,25.082883076227734
id_143,21.575922832535671
id_144,22.691169402550329
id_145,21.815703656319435
id_146,21.369172100797503
id_147,16.237959546423316
id_148,13.752101188688998
id_149,17.684884261634885
id_150,14.992321971706945
id_151,17.688479145249072
id_152,29.835168621675876
id_153,19.262314131025342
id_154,14.083457741144951
id_155,10.040314597415348
id_156,16.229660181047922
id_157,16.36027852508256
id_158,16.225591478077138
id_159,15.931129676655203
id_160,9.957738963845804
id_161,2.7904396483760143
id_162,5.0139279890118473
id_163,3.7924237274586816
id_164,1.9217889275993958
id_165,4.5232994278143357
id_166,11.982390114053429
id_167,18.011321842639418
id_168,28.17605784059208
id_169,22.177087705144391
id_170,16.384386410910942
id_171,4.4443755456690521
